Withdrawal Application No,Loan/Grant No,Type,Country,Executing Agency,Project Name,Sector,Regional Department,Disbursement Amount (USD),Currency,Date Received,Date Processed,Processing Days,SLA Target (Days),SLA Met,Status,Processing Officer,Division,Fiscal Year,Quarter
WA-2025-100086,TA-4086-MFF,TA,Uzbekistan,  National Road Authority ,Girls Education Support Program,Health,CWRD,3515761.46,USD,05-Nov-2025,2025-11-07,2.0,7,Yes,Processed,M. Rodriguez,CTLA-TA,2025,Q4 2025
WA-2025-100278,GR-4278-MFF,Grant,Philippines, Municipal Development Fund,Sustainable Urban Transport,Health,SERD,"$1,917,820.92",USD,04-19-2025,04-25-2025,6.0,7,1,Processed,R. Gallor,CTLA-LGD,2025,Q2 2025
WA-2026-100101,TA-4101-MFF,TA,Mongolia,  Central Bank ,Flood Risk Management Project,Education,EARD,"USD 837,175.10",USD,"Mar 31, 2026",,-,7,,Under Review,V. Sefesi,CTLA-TA,2026,Q1 2026
WA-2025-100244,TA-4244-SF,TA,Bhutan,National Road Authority,Coastal Protection Project,Health,SARD,"USD 499,470.80",USD,05-21-2026,,pending,7,-,Pending,R. Gallor,CTLA-TA,2026,Q2 2026
WA-2025-100238,TA-4238-SF,TA,Kyrgyz Republic, Ministry of Finance,Digital Government Transformation,Finance,CWRD,"USD 61,956.82",USD,01-01-2025,"Jan 08, 2025",7.0,7,yes,Processed,H.C. Park,CTLA-TA,2025,Q1 2025
WA-2026-100249,LN-4249-REG,Loan,NULL,Ministry of Planning,Basic Education Sector Program,Transport,SARD,647732.69,USD,"Jul 22, 2025",,,7,NA,Pending,R. Gallor,CTLA-LGD,2025,Q3 2025
WA-2026-100031,LN-4031-SF,Loan,Uzbekistan,Ministry of Energy,Smart City Development,Multisector,CWRD,"$35,546.65",USD,07-18-2025,,N/A,7,-,Under Review,I. Mora,CTLA-LGD,2025,Q3 2025
WA-2026-100385,GR-4385-SF,Grant,Myanmar,Ministry of ICT  ,Financial Inclusion Program,Public Sector Management and Governance,SERD,400961.78,USD,11-Jan-2026,"Jan 29, 2026",18 days,7,N,Processed,L. Halliwell,CTLA-LGD,2026,Q1 2026
WA-2026-100007,LN-4007-SF,Loan,Viet Nam,  Ministry of Energy,Health Sector Reform Project,Water and Urban Development,SERD,"$432,416.54",USD,20-Aug-2025,26-Aug-2025,6.0,7,Y,Processed,R. Perez,CTLA-LGD,2025,Q3 2025
WA-2026-100319,LN-4319-SF,Loan,Tajikistan,Ministry of Finance  ,Small Business Support Facility,ICT,CWRD,490499.06,USD,14/12/2025,,N/A,7,,Pending,D. Nishimoto,CTLA-LGD,2025,Q4 2025
WA-2025-100204,TA-4204-REG,TA,Bangladesh,Ministry of Agriculture,Small Business Support Facility,Transport,SARD,"$193,153.75",USD,07-Nov-2025,13/11/2025,6.0,7,1,Processed,R. Perez,CTLA-TA,2025,Q4 2025
WA-2025-100228,GR-4228-REG,Grant,Lao PDR, Ministry of Planning ,Agriculture Value Chain Development,Transport,SERD,"USD 890,552.08",USD,09-13-2025,15-Sep-2025,2.0,7,TRUE,Processed,,CTLA-LGD,2025,Q3 2025
WA-2025-100264,LN-4264-REG,Loan,Fiji,  Ministry of Education,Skills Development Program,Health,PARD,"$94,699.33",USD,20-Nov-2025,21/11/2025,1.0,7,Yes,Processed,D. Nishimoto,CTLA-PMR,2025,Q4 2025
WA-2025-100286,TA-4286-SF,TA,Viet Nam,Provincial Government,Financial Inclusion Program,NULL,SERD,538527.94,USD,03-Feb-2026,,N/A,7,NA,Under Review,,CTLA-TA,2026,Q1 2026
WA-2026-100193,GR-4193-SF,Grant,India,Ministry of Environment  ,Climate Resilient Infrastructure,ICT,SARD,"$2,880,942.86",USD,2025-01-22,,N/A,7,,Pending,R. Dadufalza,CTLA-LGD,2025,Q1 2025
WA-2026-100195,TA-4195-REG,TA,Cambodia, Urban Development Authority ,Sanitation Improvement Project,Transport,SERD,2245612.01,USD,27-Apr-2025,,-,7,N/A,Pending,M. Akram,CTLA-TA,2025,Q2 2025
WA-2026-100189,LN-4189-REG,Loan,Maldives,  Ministry of Energy ,Rural Roads Improvement Project,Education,SARD,"$982,772.30",USD,2025-06-29,"Jun 30, 2025",1.0,7,1,Processed,M. Akram,CTLA-PMR,2025,Q2 2025
WA-2026-100497,TA-4497-MFF,TA,Uzbekistan,  Ministry of Transport ,Renewable Energy Development,NULL,CWRD,"$49,507.24",USD,18-Jan-2025,01-24-2025,6.0,7,yes,Processed,H.C. Park,CTLA-TA,2025,Q1 2025
WA-2026-100433,TA-4433-SF,TA,Philippines,Provincial Government  ,Sanitation Improvement Project,Multisector,SERD,47056.29,USD,12-Feb-2026,16/02/2026,4.0,7,Yes,Processed,,CTLA-TA,2026,Q1 2026
WA-2025-100184,GR-4184-SF,Grant,Kazakhstan, Ministry of Finance ,Rural Roads Improvement Project,"Agriculture, Food, Nature and Rural Development",CWRD,"USD 2,165,356.73",USD,"Mar 23, 2025",06-Apr-2025,14.0,7,FALSE,Processed,I. Mora,CTLA-PMR,2025,Q1 2025
WA-2025-100078,LN-4078-REG,Loan,Sri Lanka,  National Housing Authority,Basic Education Sector Program,Energy,SARD,"USD 1,208,876.86",USD,03-14-2025,03-16-2025,2.0,7,TRUE,Processed,V. Sefesi,CTLA-LGD,2025,Q1 2025
WA-2025-100252,LN-4252-REG,Loan,Kazakhstan,  Central Bank ,Skills Development Program,ICT,CWRD,"405,840.77",USD,26/07/2025,,pending,7,,Pending,H.C. Park,CTLA-LGD,2025,Q3 2025
WA-2026-100449,LN-4449-MFF,Loan,Cambodia, Rural Electrification Agency ,Public Financial Management Reform,Energy,SERD,504422.66,USD,2025-11-11,16/11/2025,5.0,7,yes,Processed,D. Manurung,CTLA-LGD,2025,Q4 2025
WA-2026-100131,LN-4131-MFF,Loan,Nepal,Ministry of Transport,Urban Water Supply Program,ICT,SARD,53103.46,USD,20-Jul-2025,2025-07-21,1.0,7,TRUE,Processed,O. Domagas,CTLA-LGD,2025,Q3 2025
WA-2026-100155,GR-4155-MFF,Grant,Viet Nam,  Ministry of Transport  ,Regional Trade Facilitation,Transport,SERD,"USD 234,171.44",USD,"Sep 09, 2025","Sep 13, 2025",4.0,7,TRUE,Processed,R. Baluyot,CTLA-LGD,2025,Q3 2025
WA-2026-100455,LN-4455-MFF,Loan,Kyrgyz Republic,  Provincial Government  ,Digital Government Transformation,Education,CWRD,127273.23,USD,2025-04-16,,,7,-,Pending,M. Rodriguez,CTLA-PMR,2025,Q2 2025
WA-2025-100008,LN-4008-MFF,Loan,Papua New Guinea, Central Bank,Smart City Development,Education,PARD,"48,180.10",USD,01-07-2026,10-Jan-2026,3.0,7,TRUE,Processed,H.C. Park,CTLA-LGD,2026,Q1 2026
WA-2025-100142,GR-4142-SF,Grant,Uzbekistan, Ministry of Agriculture  ,Public Financial Management Reform,Multisector,CWRD,517335.03,USD,2025-12-17,12-23-2025,6.0,7,yes,Processed,H.C. Park,CTLA-LGD,2025,Q4 2025
WA-2025-100028,LN-4028-SF,Loan,Maldives, Provincial Government,Sanitation Improvement Project,Health,SARD,128770.63,USD,23-Mar-2025,27-Mar-2025,,7,TRUE,Processed,E. Lazaro,CTLA-LGD,2025,Q1 2025
WA-2025-100296,LN-4296-MFF,Loan,Nepal,  Department of Social Welfare ,Flood Risk Management Project,NULL,SARD,308269.62,USD,"Jan 21, 2026",2026-01-26,5.0,7,Yes,Processed,B. Kasilag,CTLA-LGD,2026,Q1 2026
WA-2025-100118,GR-4118-SF,Grant,Uzbekistan,National Housing Authority ,Financial Inclusion Program,Education,CWRD,1002906.93,USD,31/03/2025,,,7,NA,Under Review,B. Choi,CTLA-LGD,2025,Q1 2025
WA-2025-100188,TA-4188-MFF,TA,Uzbekistan,Ministry of Finance ,Renewable Energy Development,Education,CWRD,80425.70,USD,10/04/2026,12-Apr-2026,2.0,7,1,Processed,V. Sefesi,CTLA-TA,2026,Q2 2026
WA-2025-100230,TA-4230-MFF,TA,Kyrgyz Republic,Ministry of Finance ,Sustainable Urban Transport,"Agriculture, Food, Nature and Rural Development",CWRD,"$55,610.58",USD,"Apr 05, 2026",2026-04-28,23.0,7,0,Processed,B. Choi,CTLA-TA,2026,Q2 2026
WA-2026-100437,LN-4437-MFF,Loan,India,  National Road Authority,Small Business Support Facility,Finance,SARD,"$61,921.92",USD,12-27-2025,,N/A,7,,On Hold,B. Choi,CTLA-LGD,2025,Q4 2025
WA-2026-100347,LN-4347-MFF,Loan,Sri Lanka,National Road Authority ,Regional Trade Facilitation,Transport,SARD,"USD 50,395.49",USD,2025-01-04,01-11-2025,7.0,7,yes,Processed,S. Dhakal,CTLA-LGD,2025,Q1 2025
WA-2026-100149,GR-4149-MFF,Grant,Indoneisa, National Water Utility ,Regional Trade Facilitation,Education,SERD,"35,774.36",USD,2025-04-01,2025-04-02,1.0,7,yes,Processed,R. Gallor,CTLA-LGD,2025,Q2 2025
WA-2026-100191,LN-4191-MFF,Loan,Tajikistan,  Ministry of Energy,Regional Trade Facilitation,Energy,CWRD,6113613.45,USD,"Jun 07, 2025","Jun 12, 2025",5.0,7,TRUE,Processed,R. Dadufalza,CTLA-LGD,2025,Q2 2025
WA-2025-100048,LN-4048-REG,Loan,Indonesia, National Housing Authority ,Urban Water Supply Program,Education,SERD,"$263,487.65",USD,02-09-2026,02-23-2026,14.0,7,0,Processed,M. Pastoral,CTLA-LGD,2026,Q1 2026
WA-2025-100032,LN-4032-MFF,Loan,BANGLADESH,National Water Utility ,Basic Education Sector Program,Multisector,SARD,454500.98,USD,2025-07-18,"Jul 21, 2025",3.0,7,1,Processed,N. Librada,CTLA-PMR,2025,Q3 2025
WA-2026-100113,LN-4113-MFF,Loan,Nepal,Department of Public Works  ,Sustainable Urban Transport,NULL,SARD,"USD 556,839.49",USD,06-30-2025,"Jul 06, 2025",6.0,7,1,Processed,M. Rodriguez,CTLA-LGD,2025,Q2 2025
WA-2026-100335,GR-4335-MFF,Grant,Indonesia,Department of Health ,Flood Risk Management Project,Energy,SERD,"$49,267.89",USD,04-16-2025,2025-04-18,2.0,7,Yes,Processed,H.C. Park,CTLA-LGD,2025,Q2 2025
WA-2026-100181,LN-4181-SF,Loan,Papua New Guinea,Urban Development Authority  ,Digital Government Transformation,Multisector,PARD,"$3,055,867.64",USD,2025-03-26,04-17-2025,22.0,7,N,Processed,S. Dhakal,CTLA-LGD,2025,Q1 2025
WA-2026-100397,LN-4397-SF,Loan,Papua New Guinea,National Water Utility ,Smart City Development,Water and Urban Development,PARD,304521.98,USD,24-Sep-2025,2025-09-28,N/A,7,1,Processed,L. Halliwell,CTLA-LGD,2025,Q3 2025
WA-2026-100279,TA-4279-REG,TA,PHILIPPINES, Ministry of Transport,Small Business Support Facility,Public Sector Management and Governance,SERD,84997.42,USD,31/03/2026,,N/A,7,,Pending,,CTLA-TA,2026,Q1 2026
WA-2025-100170,GR-4170-MFF,Grant,Bangladesh, Municipal Development Fund ,Rural Roads Improvement Project,Energy,SARD,241029.85,USD,18/03/2025,03-20-2025,2.0,7,Yes,Processed,L. Halliwell,CTLA-LGD,2025,Q1 2025
WA-2026-100259,LN-4259-SF,Loan,Sri Lanka,Urban Development Authority ,Financial Inclusion Program,Finance,SARD,"USD 2,266,906.13",USD,12-26-2025,2025-12-27,1.0,7,Y,Processed,M. Pastoral,CTLA-LGD,2025,Q4 2025
WA-2025-100132,LN-4132-REG,Loan,Bhutan,Provincial Government,Agriculture Value Chain Development,Energy,SARD,"$510,080.76",USD,07-Oct-2025,,-,7,NA,Under Review,,CTLA-LGD,2025,Q4 2025
WA-2025-100488,TA-4488-MFF,TA,Nepal,Department of Public Works,Flood Risk Management Project,Multisector,SARD,"USD 413,799.29",USD,"Sep 22, 2025",2025-09-23,1.0,7,1,Processed,N. Librada,CTLA-TA,2025,Q3 2025
WA-2026-100247,TA-4247-SF,TA,Mongolia, Ministry of Agriculture ,Sanitation Improvement Project,Finance,EARD,"$120,882.53",USD,2025-01-05,22-Jan-2025,17.0,7,no,Processed,N. Librada,CTLA-TA,2025,Q1 2025
WA-2026-100001,LN-4001-SF,Loan,Uzbekistan,  Ministry of Transport ,Sanitation Improvement Project,Water and Urban Development,CWRD,352119.89,USD,"May 15, 2026",,N/A,7,-,Pending,M. Rodriguez,CTLA-LGD,2026,Q2 2026
WA-2026-100143,LN-4143-MFF,Loan,Bhutan, Ministry of Energy  ,Sanitation Improvement Project,"Agriculture, Food, Nature and Rural Development",SARD,44025.59,USD,11-May-2026,31/05/2026,23.0,7,FALSE,Processed,R. Dadufalza,CTLA-PMR,2026,Q2 2026
WA-2025-100030,LN-4030-REG,Loan,Tajikistan, Ministry of Finance  ,Girls Education Support Program,NULL,CWRD,"$466,450.98",USD,"Dec 19, 2025",28/12/2025,9.0,7,N,Processed,M. Rodriguez,CTLA-LGD,2025,Q4 2025
WA-2025-100386,TA-4386-MFF,TA,Cambodia,Central Bank,Regional Trade Facilitation,Health,SERD,319473.85,USD,"Oct 26, 2025",2025-11-18,23.0,7,FALSE,Processed,L. Halliwell,CTLA-TA,2025,Q4 2025
WA-2026-100443,TA-4443-MFF,TA,Sri Lanka,  Department of Health  ,Public Financial Management Reform,Finance,SARD,"$113,481.78",USD,2025-05-23,30/05/2025,7.0,7,yes,Processed,,CTLA-TA,2025,Q2 2025
WA-2026-100401,LN-4401-MFF,Loan,Nepal,Ministry of Education ,Girls Education Support Program,Finance,SARD,"$197,084.06",USD,04/04/2025,,N/A,7,na,Under Review,R. Dadufalza,CTLA-LGD,2025,Q2 2025
WA-2026-100009,LN-4009-REG,Loan,Kazakhstan,  Department of Public Works ,Sustainable Urban Transport,ICT,CWRD,43692.54,USD,13/04/2026,04-16-2026,3.0,7,Y,Processed,B. Choi,CTLA-LGD,2026,Q2 2026
WA-2026-100431,LN-4431-MFF,Loan,NULL,Department of Social Welfare  ,Smart City Development,Energy,CWRD,"49,621.53",USD,2026-03-30,"Apr 06, 2026",7.0,7,Yes,Processed,B. Choi,CTLA-LGD,2026,Q1 2026
WA-2026-100283,LN-4283-SF,Loan,Mongolia, National Housing Authority  ,Solar Power Generation Project,Public Sector Management and Governance,EARD,"USD 423,605.69",USD,"May 05, 2025",05-09-2025,4.0,7,1,Processed,I. Mora,CTLA-LGD,2025,Q2 2025
WA-2025-100098,LN-4098-MFF,Loan,Pakistan, Provincial Government,Regional Trade Facilitation,Health,CWRD,50978.08,USD,01-14-2026,01-20-2026,6 days,7,1,Processed,D. Manurung,CTLA-PMR,2026,Q1 2026
WA-2026-100159,LN-4159-REG,Loan,Bhutan,Urban Development Authority,Urban Water Supply Program,Energy,SARD,4386334.33,USD,11-Oct-2025,,N/A,7,na,Pending,O. Domagas,CTLA-LGD,2025,Q4 2025
WA-2025-100298,LN-4298-SF,Loan,Vietnam, Ministry of Energy ,Small Business Support Facility,Health,SERD,441209.08,USD,18-Jun-2025,,-,7,N/A,Pending,R. Dadufalza,CTLA-LGD,2025,Q2 2025
WA-2026-100029,GR-4029-MFF,Grant,NULL,National Housing Authority,Rural Roads Improvement Project,Public Sector Management and Governance,CWRD,"USD 2,141,340.44",USD,28-Jun-2025,30-Jun-2025,2.0,7,TRUE,Processed,N. Librada,CTLA-LGD,2025,Q2 2025
WA-2025-100366,GR-4366-REG,Grant,Kazakhstan,Ministry of ICT  ,Regional Trade Facilitation,Finance,CWRD,1104221.04,USD,2025-05-13,,,7,,Pending,,CTLA-LGD,2025,Q2 2025
WA-2025-100148,TA-4148-SF,TA,PHILIPPINES, Department of Social Welfare ,Sanitation Improvement Project,Finance,SERD,2480592.88,USD,04-26-2025,,pending,7,NA,Under Review,B. Kasilag,CTLA-TA,2025,Q2 2025
WA-2026-100043,LN-4043-SF,Loan,Nepal,Department of Public Works ,Sustainable Urban Transport,Public Sector Management and Governance,SARD,"5,677,158.53",USD,"Feb 24, 2026",03-02-2026,6 days,7,1,Processed,R. Gallor,CTLA-LGD,2026,Q1 2026
WA-2026-100153,LN-4153-REG,Loan,Nepal,  Central Bank ,Health Sector Reform Project,Transport,SARD,"$115,617.39",USD,02/04/2025,04-11-2025,9.0,7,FALSE,Processed,D. Manurung,CTLA-LGD,2025,Q2 2025
WA-2025-100136,LN-4136-SF,Loan,Mongolia, Urban Development Authority,Financial Inclusion Program,Multisector,EARD,35077.52,USD,2025-08-07,08-26-2025,19.0,7,FALSE,Processed,A. Asuncion,CTLA-LGD,2025,Q3 2025
WA-2025-100460,LN-4460-SF,Loan,Bangladesh,  Ministry of ICT,Sanitation Improvement Project,Health,SARD,"USD 2,055,991.91",USD,12-21-2025,,N/A,7,,On Hold,B. Choi,CTLA-LGD,2025,Q4 2025
WA-2026-100115,GR-4115-SF,Grant,Nepal,Urban Development Authority ,Sustainable Urban Transport,Energy,SARD,"$971,390.97",USD,"Jun 24, 2025",,-,7,,Pending,D. Nishimoto,CTLA-LGD,2025,Q2 2025
WA-2026-100183,TA-4183-REG,TA, Bangladesh, Urban Development Authority  ,Solar Power Generation Project,Public Sector Management and Governance,SARD,"88,740.95",USD,2026-05-12,"May 16, 2026",4.0,7,Y,Processed,R. Gallor,CTLA-TA,2026,Q2 2026
WA-2026-100469,TA-4469-SF,TA,Lao PDR,Ministry of Education  ,Flood Risk Management Project,Multisector,SERD,"76,225.38",USD,"Mar 29, 2025",,-,7,NA,Under Review,R. Dadufalza,CTLA-TA,2025,Q1 2025
WA-2026-100285,LN-4285-REG,Loan,Sri Lanka,  Ministry of Education,Smart City Development,Water and Urban Development,SARD,55762.21,USD,22-Nov-2025,2025-11-23,1.0,7,Yes,Processed,E. Lazaro,CTLA-LGD,2025,Q4 2025
WA-2026-100445,TA-4445-SF,TA,Mongolia, Rural Electrification Agency  ,Urban Water Supply Program,ICT,EARD,"USD 52,304.24",USD,08-Mar-2026,14-Mar-2026,6.0,7,1,Processed,L. Halliwell,CTLA-TA,2026,Q1 2026
WA-2025-100198,GR-4198-REG,Grant, Bangladesh,  Department of Public Works,Urban Water Supply Program,"Agriculture, Food, Nature and Rural Development",SARD,"$248,150.06",USD,2026-05-04,2026-05-15,11.0,7,No,Processed,,CTLA-LGD,2026,Q2 2026
WA-2026-100137,LN-4137-MFF,Loan,Kyrgyz Republic,  National Housing Authority  ,Basic Education Sector Program,Multisector,CWRD,"$2,757,137.00",USD,09/04/2026,14-Apr-2026,5.0,7,Yes,Processed,,CTLA-LGD,2026,Q2 2026
WA-2026-100359,GR-4359-MFF,Grant,Mongolia, Department of Public Works,Public Financial Management Reform,NULL,EARD,300973.05,USD,"Jul 24, 2025",,-,7,,Pending,M. Pastoral,CTLA-LGD,2025,Q3 2025
WA-2026-100235,GR-4235-SF,Grant,Kazakhstan,National Water Utility,Skills Development Program,Multisector,CWRD,"USD 225,601.83",USD,27/02/2025,03-04-2025,N/A,7,Y,Processed,O. Domagas,CTLA-LGD,2025,Q1 2025
WA-2025-100046,LN-4046-SF,Loan,Kyrgyz Republic, Ministry of Agriculture  ,Urban Water Supply Program,Public Sector Management and Governance,CWRD,"$82,433.66",USD,25/01/2026,26-Jan-2026,1.0,7,Yes,Processed,E. Lazaro,CTLA-PMR,2026,Q1 2026
WA-2025-100038,LN-4038-MFF,Loan,Kyrgyz Republic, National Housing Authority ,Climate Resilient Infrastructure,Water and Urban Development,CWRD,1035042.55,USD,"Feb 23, 2026",,pending,7,na,Under Review,D. Manurung,CTLA-LGD,2026,Q1 2026
WA-2025-100196,LN-4196-SF,Loan,Pakistan,Urban Development Authority  ,Basic Education Sector Program,Water and Urban Development,CWRD,"USD 384,479.90",USD,18-Jan-2025,"Jan 30, 2025",12.0,7,No,Processed,S. Dhakal,CTLA-LGD,2025,Q1 2025
WA-2025-100308,LN-4308-MFF,Loan,VIETNAM,National Road Authority,Digital Government Transformation,Public Sector Management and Governance,SERD,7996130.94,USD,09-02-2025,24-Sep-2025,22.0,7,No,Processed,A. Asuncion,CTLA-LGD,2025,Q3 2025
WA-2025-100380,LN-4380-MFF,Loan,Kyrgyz Republic, Ministry of Education  ,Health Sector Reform Project,Multisector,CWRD,"USD 521,482.29",USD,08-Feb-2026,2026-02-15,,7,1,Processed,B. Choi,CTLA-LGD,2026,Q1 2026
WA-2025-100466,GR-4466-SF,Grant,Kazakhstan,  Ministry of Environment ,Urban Water Supply Program,Health,CWRD,"$213,818.86",USD,"Jan 29, 2025",01-Feb-2025,3 days,7,1,Processed,M. Akram,CTLA-LGD,2025,Q1 2025
WA-2026-100157,LN-4157-SF,Loan,Uzbekistan,  Rural Electrification Agency,Rural Roads Improvement Project,Water and Urban Development,CWRD,277034.17,USD,24-Nov-2025,"Nov 29, 2025",5.0,7,1,Processed,O. Domagas,CTLA-LGD,2025,Q4 2025
WA-2025-100236,LN-4236-MFF,Loan,Fiji,Ministry of Finance  ,Small Business Support Facility,"Agriculture, Food, Nature and Rural Development",PARD,"$1,812,485.23",USD,09-11-2025,09-17-2025,6.0,7,1,Processed,M. Akram,CTLA-LGD,2025,Q3 2025
WA-2026-100137,LN-4137-MFF,Loan,Kyrgyz Republic,  National Housing Authority  ,Basic Education Sector Program,Multisector,CWRD,"$2,757,137.00",USD,09/04/2026,14-Apr-2026,5.0,7,Yes,Processed,,CTLA-LGD,2026,Q2 2026
WA-2025-100204,TA-4204-REG,TA,Bangladesh,Ministry of Agriculture,Small Business Support Facility,Transport,SARD,"$193,153.75",USD,07-Nov-2025,13/11/2025,6.0,7,1,Processed,R. Perez,CTLA-TA,2025,Q4 2025
WA-2025-100424,GR-4424-SF,Grant,Bhutan,Department of Public Works,Rural Roads Improvement Project,ICT,SARD,"$905,554.65",USD,"Mar 14, 2025",,N/A,7,na,Pending,R. Baluyot,CTLA-LGD,2025,Q1 2025
WA-2026-100409,TA-4409-SF,TA,Lao PDR, Municipal Development Fund,Regional Trade Facilitation,Transport,SERD,"$64,327.70",USD,21-Mar-2026,27-Mar-2026,6.0,7,Y,Processed,V. Sefesi,CTLA-TA,2026,Q1 2026
WA-2025-100110,LN-4110-MFF,Loan,Indonesia,  Ministry of Agriculture ,Flood Risk Management Project,Energy,SERD,"USD 886,217.18",USD,05-08-2025,12/05/2025,4.0,7,Y,Processed,B. Kasilag,CTLA-LGD,2025,Q2 2025
WA-2026-100025,LN-4025-SF,Loan,Uzbekistan,Ministry of ICT,Renewable Energy Development,"Agriculture, Food, Nature and Rural Development",CWRD,"375,604.24",USD,06-Jun-2025,06-11-2025,5.0,7,1,Processed,I. Mora,CTLA-LGD,2025,Q2 2025
WA-2025-100112,LN-4112-SF,Loan,Phillippines,  Department of Public Works  ,Rural Roads Improvement Project,Transport,SERD,"USD 352,931.25",USD,24/05/2026,"May 30, 2026",6.0,7,TRUE,Processed,R. Baluyot,CTLA-LGD,2026,Q2 2026
WA-2026-100041,GR-4041-MFF,Grant,Viet Nam,  Provincial Government  ,Digital Government Transformation,Finance,SERD,1818169.57,USD,27/03/2025,28/03/2025,1.0,7,Y,Processed,M. Rodriguez,CTLA-LGD,2025,Q1 2025
WA-2025-100096,LN-4096-REG,Loan,Maldives,Ministry of ICT ,Financial Inclusion Program,Education,SARD,"USD 118,949.99",USD,05-28-2026,30-May-2026,2.0,7,TRUE,Processed,B. Kasilag,CTLA-LGD,2026,Q2 2026
WA-2025-100166,GR-4166-SF,Grant,NULL, Ministry of Transport ,Public Financial Management Reform,Transport,SERD,292568.77,USD,"Apr 16, 2025",04-23-2025,7.0,7,TRUE,Processed,B. Kasilag,CTLA-LGD,2025,Q2 2025
WA-2026-100303,TA-4303-REG,TA,India,  Ministry of Finance  ,Coastal Protection Project,Public Sector Management and Governance,SARD,"USD 55,561.86",USD,16-Apr-2025,17/04/2025,1.0,7,yes,Processed,D. Nishimoto,CTLA-TA,2025,Q2 2025
WA-2025-100496,LN-4496-SF,Loan,Pakistan,  Ministry of Finance  ,Smart City Development,Transport,CWRD,"317,546.05",USD,2026-02-05,07-Feb-2026,2.0,7,TRUE,Processed,B. Choi,CTLA-LGD,2026,Q1 2026
WA-2026-100395,GR-4395-MFF,Grant,Kyrgyz Republic, Ministry of Transport  ,Girls Education Support Program,Transport,CWRD,438724.27,USD,"Sep 12, 2025",14/09/2025,2.0,7,Y,Processed,V. Sefesi,CTLA-LGD,2025,Q3 2025
WA-2025-100482,LN-4482-MFF,Loan,Uzbekistan, Department of Social Welfare,Agriculture Value Chain Development,Finance,CWRD,"62,832.37",USD,04-04-2025,2025-04-06,2.0,7,Yes,Processed,V. Sefesi,CTLA-PMR,2025,Q2 2025
WA-2026-100117,LN-4117-REG,Loan,Mongolia, Ministry of ICT,Rural Roads Improvement Project,"Agriculture, Food, Nature and Rural Development",EARD,"$208,084.17",USD,"Jan 06, 2026","Jan 22, 2026",16.0,7,No,Processed,M. Rodriguez,CTLA-LGD,2026,Q1 2026
WA-2025-100372,TA-4372-REG,TA,Kyrgyz Republic,  Department of Health ,Sustainable Urban Transport,"Agriculture, Food, Nature and Rural Development",CWRD,"USD 53,419.38",USD,"Feb 28, 2025",,N/A,7,-,Under Review,D. Nishimoto,CTLA-TA,2025,Q1 2025
WA-2025-100218,GR-4218-MFF,Grant,NULL, Municipal Development Fund,Girls Education Support Program,Health,PARD,625620.41,USD,31/10/2025,2025-11-01,1.0,7,Y,Processed,B. Kasilag,CTLA-LGD,2025,Q4 2025
WA-2025-100326,TA-4326-MFF,TA,Cambodia,  Ministry of Education,Renewable Energy Development,Multisector,SERD,621307.93,USD,08/04/2025,09-Apr-2025,1.0,7,Yes,Processed,M. Akram,CTLA-TA,2025,Q2 2025
WA-2026-100175,LN-4175-SF,Loan,Mongolia, National Water Utility  ,Coastal Protection Project,Education,EARD,860883.41,USD,05-15-2025,01-Jun-2025,17 days,7,N,Processed,R. Gallor,CTLA-LGD,2025,Q2 2025
WA-2025-100318,TA-4318-REG,TA,Maldives,Ministry of Planning ,Skills Development Program,Energy,SARD,"$1,261,103.25",USD,"Aug 29, 2025",,pending,7,N/A,Pending,D. Manurung,CTLA-TA,2025,Q3 2025
WA-2026-100093,LN-4093-REG,Loan,Banglades,Rural Electrification Agency  ,Agriculture Value Chain Development,"Agriculture, Food, Nature and Rural Development",SARD,"$126,997.67",USD,2025-01-22,02-07-2025,16.0,7,N,Processed,B. Kasilag,CTLA-LGD,2025,Q1 2025
WA-2026-100239,LN-4239-MFF,Loan,Papua New Guinea, Ministry of Agriculture,Financial Inclusion Program,"Agriculture, Food, Nature and Rural Development",PARD,"$55,149.27",USD,"Apr 09, 2026",2026-04-18,9 days,7,FALSE,Processed,N. Librada,CTLA-LGD,2026,Q2 2026
WA-2026-100061,TA-4061-SF,TA,Kazakhstan, Ministry of Education  ,Financial Inclusion Program,Transport,CWRD,"$376,360.43",USD,2025-07-10,07-12-2025,2.0,7,TRUE,Processed,R. Baluyot,CTLA-TA,2025,Q3 2025
WA-2025-100406,LN-4406-SF,Loan,philippines, Urban Development Authority,Coastal Protection Project,Multisector,SERD,"USD 302,364.70",USD,12-16-2025,"Jan 05, 2026",,7,no,Processed,B. Choi,CTLA-LGD,2025,Q4 2025
WA-2025-100242,LN-4242-MFF,Loan,Nepal,Department of Social Welfare,Health Sector Reform Project,Finance,SARD,211283.99,USD,04-25-2026,01-May-2026,6.0,7,Yes,Processed,M. Pastoral,CTLA-LGD,2026,Q2 2026
WA-2026-100207,TA-4207-REG,TA,Maldives,Department of Health ,Coastal Protection Project,Energy,SARD,97996.47,USD,"Jun 01, 2025",03-Jun-2025,2.0,7,TRUE,Processed,H.C. Park,CTLA-TA,2025,Q2 2025
WA-2026-100333,TA-4333-REG,TA,Nepal,  Ministry of ICT ,Smart City Development,Transport,SARD,"USD 2,940,894.08",USD,13/03/2025,"Apr 04, 2025",22.0,7,0,Processed,D. Nishimoto,CTLA-TA,2025,Q1 2025
